,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-02,Shinhan10-11 Prole..,New Empire of th..,Tyson,Win,
+,11-06-29,Shinhan10-11 Prole..,Neo Beltway,BeSt,Loss,
+,11-06-27,Shinhan10-11 Prole..,New Empire of th..,free,Win,
+,11-06-21,Shinhan10-11 Prole..,New Empire of th..,Kal,Win,
+,11-06-21,Shinhan10-11 Prole..,Neo Beltway,Last,Loss,
+,11-06-19,Shinhan10-11 Prole..,New Empire of th..,BaBy,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Food5,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Food5,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Food5,Win,
+,11-06-13,Shinhan10-11 Prole..,New Empire of th..,HiyA,Loss,
+,11-06-05,Shinhan10-11 Prole..,Neo Beltway,Flash,Loss,
+,11-05-22,Shinhan10-11 Prole..,Neo Aztec,Killer,Loss,
+,11-05-17,Shinhan10-11 Prole..,Circuit Breaker,Really,Win,
+,11-05-15,Shinhan10-11 Prole..,Beltway,Tiny,Win,
+,11-05-09,Shinhan10-11 Prole..,Beltway,Bogus,Win,
+,11-05-09,Shinhan10-11 Prole..,New Empire of th..,Bogus,Win,
+,11-05-07,Shinhan10-11 Prole..,Icarus,BarrackS,Loss,
+,11-05-04,Shinhan10-11 Prole..,Beltway,Snow,Loss,
+,11-05-02,Shinhan10-11 Prole..,Beltway,Mind,Win,
+,11-04-26,Shinhan10-11 Prole..,New Empire of th..,JangBi,Win,
+,11-04-23,Shinhan10-11 Prole..,Beltway,By.Sun,Win,
+,11-04-17,Shinhan10-11 All-S..,Fortress SE,Stork,Win,
+,11-04-14,ABC Mart MSL,La Mancha,Stork,Loss,
+,11-04-14,ABC Mart MSL,Dante&#039;s Pea..,free,Win,
+,11-04-14,ABC Mart MSL,Monte Cristo,Stork,Loss,
+,11-03-31,MBC Survivor 22nd,Empire of the Sun,By.Sun,Win,
+,11-03-31,MBC Survivor 22nd,Circuit Breaker,Jaehoon,Win,
+,11-03-20,SWL 2011,Empire of the Sun,Horang2,Win,
+,11-03-15,SWL 2011,Fortress SE,PerfectMan,Loss,
+,11-03-15,SWL 2011,Benzene,Killer,Win,
+,11-03-07,SWL 2011,Empire of the Sun,BaBy,Loss,
+,11-03-07,SWL 2011,Circuit Breaker,Shine,Win,
+,11-03-07,SWL 2011,Fortress SE,Midas,Win,
+,11-03-07,SWL 2011,Benzene,RorO,Win,
+,11-03-05,SWL 2011,La Mancha,Light,Loss,
+,11-03-05,SWL 2011,Icarus,Neo.G_Soulkey,Win,
+,11-03-05,SWL 2011,Benzene,free,Win,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Flying,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Flying,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,ByuL,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,ByuL,Win,
+,11-02-27,SWL 2011,Bloody Ridge,Action,Loss,
+,11-02-20,SWL 2011,Empire of the Sun,Bisu,Loss,
+,11-02-16,SWL 2011,Benzene,Movie,Loss,
+,11-02-14,SWL 2011,Fortress SE,Kal,Loss,
+,11-02-01,SWL 2011,Aztec,HiyA,Loss,
+,11-01-25,SWL 2011,Bloody Ridge,Tyson,Loss,
+,11-01-22,SWL 2011,La Mancha,Bisu,Loss,
+,11-01-19,SWL 2011,La Mancha,TurN,Loss,
+,11-01-17,SWL 2011,Aztec,BaBy,Loss,
+,11-01-10,SWL 2011,Benzene,Stats,Loss,
+,10-12-27,Shinhan10-11 Prole..,Empire of the Sun,great,Loss,
+,10-12-25,Shinhan10-11 Prole..,Empire of the Sun,Kal,Win,
+,10-12-19,Shinhan10-11 Prole..,Circuit Breaker,n.Die_soO,Win,
+,10-12-13,Shinhan10-11 Prole..,Empire of the Sun,fOrGG,Loss,
+,10-12-07,Shinhan10-11 Prole..,Circuit Breaker,Mind,Win,
+,10-11-30,Shinhan10-11 Prole..,Fortress,Where,Win,
+,10-11-28,Shinhan10-11 Prole..,Circuit Breaker,Anytime,Loss,
+,10-11-17,Shinhan10-11 Prole..,Grand Line SE,RorO,Loss,
+,10-11-14,Shinhan10-11 Prole..,Empire of the Sun,Stork,Loss,
+,10-11-10,Shinhan10-11 Prole..,Fortress,BeSt,Win,
+,10-11-08,Shinhan10-11 Prole..,Empire of the Sun,PerfectMan,Win,
+,10-11-01,Shinhan10-11 Prole..,Icarus,Hydra,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Orion,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Orion,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Orion,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,hyvaa,Loss,
+,10-10-28,2010 Winter MST Pr..,Triathlon,hyvaa,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,hyvaa,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Sky,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Sky,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Sky,Win,
+,10-10-24,Shinhan10-11 Prole..,Grand Line SE,Light,Win,
+,10-06-11,2010 Summer OSL Pr..,Match Point,LuCifer,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,LuCifer,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,LuCifer,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,Maestro,Loss,
+,10-05-27,2010 Summer MST Pr..,Match Point,Maestro,Loss,
+,10-05-02,Shinhan09-10 Prole..,Roadrunner,HiyA,Loss,
+,10-04-21,Shinhan09-10 Prole..,Roadrunner,Leta,Loss,
+,10-04-14,Shinhan09-10 Prole..,Judgment Day,GoRush,Loss,
+,10-04-11,Shinhan09-10 Prole..,Grand Line,ZerO,Loss,
+,10-03-06,Shinhan 2010 Winne..,Neo Moon Glaive,free,Loss,
+,10-03-06,Shinhan 2010 Winne..,New Tornado,Kwanro,Win,
+,10-03-03,Shinhan 2010 Winne..,New Tornado,Leta,Loss,
+,10-02-28,Shinhan 2010 Winne..,Judgment Day,Light,Loss,
+,10-02-28,Shinhan 2010 Winne..,Roadrunner,Tyson,Win,
+,10-02-28,Shinhan 2010 Winne..,New Tornado,HyuN,Win,
+,10-02-23,Shinhan 2010 Winne..,Judgment Day,Flash,Loss,
+,10-02-20,Shinhan 2010 Winne..,Match Point,HiyA,Loss,
+,10-02-05,2010 Spring OSL Pr..,Eye of the Storm,HyuN,Loss,
+,10-02-05,2010 Spring OSL Pr..,Match Point,HyuN,Loss,
+,10-02-05,2010 Spring OSL Pr..,Match Point,DarkElf,Win,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,DarkElf,Win,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,By.Sun,Win,
+,10-02-05,2010 Spring OSL Pr..,Eye of the Storm,By.Sun,Win,
+,10-02-04,2010 Spring MST Pr..,Fighting Spirit,Mell,Loss,
+,10-02-04,2010 Spring MST Pr..,Odd-Eye,Mell,Win,
+,10-02-04,2010 Spring MST Pr..,Match Point,Mell,Loss,
+,10-02-02,Shinhan 2010 Winne..,Judgment Day,Movie,Loss,
+,10-01-30,Shinhan 2010 Winne..,Fighting Spirit,Really,Loss,
+,10-01-30,Shinhan 2010 Winne..,Roadrunner,Action,Win,
+,10-01-30,Shinhan 2010 Winne..,New Tornado,UpMaGiC,Win,
+,10-01-30,Shinhan 2010 Winne..,Judgment Day,Flying,Win,
+,10-01-25,Shinhan 2010 Winne..,Match Point,Fantasy,Loss,
+,10-01-25,Shinhan 2010 Winne..,New Tornado,Bisu,Win,
+,10-01-25,Shinhan 2010 Winne..,Roadrunner,BeSt,Win,
+,10-01-25,Shinhan 2010 Winne..,Neo Moon Glaive,Canata,Win,
+,10-01-16,Shinhan09-10 Prole..,New Tornado,ggaemo,Win,
+,10-01-09,Shinhan09-10 Prole..,Fighting Spirit,RorO,Loss,
+,10-01-04,Shinhan09-10 Prole..,Neo Moon Glaive,Flash,Loss,
+,09-12-26,Shinhan09-10 Prole..,Neo Moon Glaive,Sea,Loss,
+,09-12-20,Shinhan09-10 Prole..,Neo Moon Glaive,Action,Win,
+,09-11-30,Shinhan09-10 Prole..,Tornado,Light,Win,
+,09-11-25,Shinhan09-10 Prole..,Fighting Spirit,Leta,Loss,
+,09-11-22,Shinhan09-10 Prole..,Heartbreak Ridge,FrOzen,Loss,
+,09-11-10,Shinhan09-10 Prole..,Tornado,sKyHigh,Win,
+,09-11-07,Shinhan09-10 Prole..,Moon Glaive,HiyA,Loss,
+,09-11-04,Shinhan09-10 Prole..,Moon Glaive,free,Loss,
+,09-11-01,Shinhan09-10 Prole..,Tornado,Action,Loss,
+,09-10-28,EVER2009 OSL,El Niño,ZerO,Loss,
+,09-10-28,EVER2009 OSL,Eye of the Storm,ZerO,Loss,
+,09-10-28,EVER2009 OSL,El Niño,Jaehoon,Win,
+,09-10-28,EVER2009 OSL,Eye of the Storm,Jaehoon,Win,
+,09-10-26,Shinhan09-10 Prole..,Tornado,YellOw,Win,
+,09-10-20,Shinhan09-10 Prole..,Moon Glaive,Flash,Loss,
+,09-10-12,Shinhan09-10 Prole..,Moon Glaive,Mind,Loss,
+,09-09-30,2009 Fall OSL Prel..,Heartbreak Ridge,MVP,Win,
+,09-09-30,2009 Fall OSL Prel..,Return of the King,MVP,Win,
+,09-09-30,2009 Fall OSL Prel..,Return of the King,Hydra,Win,
