pid,Name,Race,Team,rating,ELO Peak,href
Bisu,김택용,P,SK Telecom T1,2346 pts,2375 pts,/tlpd/korean/players/125_Bisu
Flash,이영호,T,KT Rolster,2322 pts,2443 pts,/tlpd/korean/players/424_Flash
Jaedong,이제동,Z,Hwaseung OZ,2274 pts,2378 pts,/tlpd/korean/players/211_Jaedong
Hydra,신동원,Z,CJ Entus,2263 pts,2288 pts,/tlpd/korean/players/610_Hydra
ZerO,김명운,Z,Woongjin Stars,2238 pts,2238 pts,/tlpd/korean/players/174_ZerO
Movie,진영화,P,CJ Entus,2230 pts,2230 pts,/tlpd/korean/players/564_Movie
Light,이재호,T,Woongjin Stars,2207 pts,2250 pts,/tlpd/korean/players/109_Light
Horang2,이경민,P,CJ Entus,2191 pts,2214 pts,/tlpd/korean/players/630_Horang2
Neo.G_Soulkey,김민철,Z,Woongjin Stars,2174 pts,2216 pts,/tlpd/korean/players/647_Neo.G_Soulkey
BaBy,전태양,T,WeMade FOX,2172 pts,2232 pts,/tlpd/korean/players/575_BaBy
Sea,염보성,T,MBCGame HERO,2171 pts,2268 pts,/tlpd/korean/players/108_Sea
Bogus,이신형,T,STX SouL,2171 pts,2186 pts,/tlpd/korean/players/663_Bogus
Mind,박성균,T,WeMade FOX,2161 pts,2200 pts,/tlpd/korean/players/146_Mind
n.Die_soO,어윤수,Z,SK Telecom T1,2159 pts,2159 pts,/tlpd/korean/players/634_n.Die_soO
Fantasy,정명훈,T,SK Telecom T1,2159 pts,2310 pts,/tlpd/korean/players/6_Fantasy
Killer,박준오,Z,Hwaseung OZ,2159 pts,2159 pts,/tlpd/korean/players/558_Killer
Leta,신상문,T,CJ Entus,2138 pts,2263 pts,/tlpd/korean/players/185_Leta
JangBi,허영무,P,Samsung KHAN,2137 pts,2306 pts,/tlpd/korean/players/63_JangBi
HiyA,구성훈,T,Hwaseung OZ,2136 pts,2212 pts,/tlpd/korean/players/205_HiyA
firebathero,이성은,T,Air Force ACE,2134 pts,2208 pts,/tlpd/korean/players/43_firebathero
