,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-19,EG Masters Cup #5,Metalopolis 1.1,ViBE,Loss,
+,11-06-19,EG Masters Cup #5,Shakuras Plateau..,ViBE,Win,
+,11-06-19,EG Masters Cup #5,Crevasse,ViBE,Loss,
+,11-06-18,NASL S1,Typhon Peaks,NaNiwa,Loss,
+,11-06-18,NASL S1,Crevasse,NaNiwa,Loss,
+,11-06-10,NASL S1,Crevasse,NaDa,Loss,
+,11-06-10,NASL S1,Metalopolis 1.1,NaDa,Loss,
+,11-06-10,NASL S1,Tal&#039;Darim A..,NaDa,Win,
+,11-06-07,EG Masters Cup #5,Metalopolis 1.1,ThorZaIN,Loss,
+,11-06-07,EG Masters Cup #5,Xel&#039;Naga Ca..,ThorZaIN,Loss,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,qxc,Loss,
+,11-06-04,MLG Columbus 2011,Xel&#039;Naga Ca..,qxc,Win,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,qxc,Loss,
+,11-06-04,MLG Columbus 2011,Unknown,sixjaxMajOr,Loss,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,sixjaxMajOr,Loss,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,CrunCher,Win,
+,11-06-04,MLG Columbus 2011,iCCup Testbug,CrunCher,Win,
+,11-06-03,MLG Columbus 2011,The Shattered Te..,Ver,Win,
+,11-06-03,MLG Columbus 2011,Xel&#039;Naga Ca..,Ver,Win,
+,11-06-03,MLG Columbus 2011,Metalopolis 1.1,Ver,Loss,
+,11-06-03,MLG Columbus 2011,Xel&#039;Naga Ca..,Mystik,Win,
+,11-06-03,MLG Columbus 2011,Tal&#039;Darim A..,Mystik,Win,
+,11-06-03,NASL S1,Crevasse,SLush,Win,
+,11-06-03,NASL S1,Metalopolis 1.1,SLush,Win,
+,11-05-31,EG Masters Cup #5,The Shattered Te..,KiWiKaKi,Loss,
+,11-05-31,EG Masters Cup #5,Xel&#039;Naga Ca..,KiWiKaKi,Loss,
+,11-05-27,NASL S1,Typhon Peaks,NaNiwa,Loss,
+,11-05-27,NASL S1,Crevasse,NaNiwa,Loss,
+,11-05-24,EG Masters Cup #5,The Shattered Te..,KawaiiRice,Win,
+,11-05-24,EG Masters Cup #5,Crossfire SE,KawaiiRice,Win,
+,11-05-23,Crota&#039;s Tourney,Crevasse,MorroW,Loss,
+,11-05-23,Crota&#039;s Tourney,Metalopolis 1.1,MorroW,Loss,
+,11-05-21,Crota&#039;s Tourney,Metalopolis 1.1,TT1,Loss,
+,11-05-21,Crota&#039;s Tourney,Xel&#039;Naga Ca..,TT1,Win,
+,11-05-21,Crota&#039;s Tourney,Terminus RE,TT1,Loss,
+,11-05-20,NASL S1,Xel&#039;Naga Ca..,KawaiiRice,Win,
+,11-05-20,NASL S1,Typhon Peaks,KawaiiRice,Win,
+,11-05-17,EG Masters Cup #5,Xel&#039;Naga Ca..,DieStar,Win,
+,11-05-17,EG Masters Cup #5,Metalopolis 1.1,DieStar,Win,
+,11-05-13,NASL S1,Terminus RE,HayprO,Win,
+,11-05-13,NASL S1,The Shattered Te..,HayprO,Win,
+,11-05-13,NASL S1,Xel&#039;Naga Ca..,HayprO,Loss,
+,11-05-12,EG Masters Cup #5,Metalopolis 1.1,SeleCT,Loss,
+,11-05-12,EG Masters Cup #5,Crevasse,SeleCT,Loss,
+,11-05-09,Crota&#039;s Tourney,Shakuras Plateau..,SaSe,Loss,
+,11-05-09,Crota&#039;s Tourney,Xel&#039;Naga Ca..,SaSe,Loss,
+,11-05-06,NASL S1,Crossfire SE,Strelok,Loss,
+,11-05-06,NASL S1,Terminus RE,Strelok,Loss,
+,11-05-06,NASL S1,The Shattered Te..,Strelok,Win,
+,11-04-29,IPL Season 1,The Shattered Te..,KiWiKaKi,Loss,
+,11-04-29,IPL Season 1,Terminus RE,KiWiKaKi,Loss,
+,11-04-29,IPL Season 1,Shakuras Plateau..,KiWiKaKi,Loss,
+,11-04-29,IPL Season 1,Xel&#039;Naga Ca..,KiWiKaKi,Win,
+,11-04-29,IPL Season 1,The Shattered Te..,CatZ,Win,
+,11-04-29,IPL Season 1,Crevasse,CatZ,Win,
+,11-04-29,IPL Season 1,Metalopolis 1.1,CatZ,Loss,
+,11-04-29,IPL Season 1,Xel&#039;Naga Ca..,CatZ,Win,
+,11-04-29,NASL S1,Crossfire SE,mOOnGLaDe,Win,
+,11-04-29,NASL S1,Terminus RE,mOOnGLaDe,Win,
+,11-04-28,IPL Season 1,Shakuras Plateau..,Minigun,Win,
+,11-04-28,IPL Season 1,Terminus RE,Minigun,Win,
+,11-04-28,IPL Season 1,Xel&#039;Naga Ca..,Minigun,Loss,
+,11-04-27,HD World Tournament,The Shattered Te..,Socke,Loss,
+,11-04-27,HD World Tournament,Tal&#039;Darim A..,Socke,Loss,
+,11-04-27,HD World Tournament,Terminus RE,Socke,Win,
+,11-04-24,IPL Season 1,Metalopolis 1.1,iNcontroL,Win,
+,11-04-24,IPL Season 1,The Shattered Te..,iNcontroL,Loss,
+,11-04-24,IPL Season 1,Xel&#039;Naga Ca..,iNcontroL,Win,
+,11-04-23,FXO Invitational #3,Unknown,TopClass,Loss,
+,11-04-23,FXO Invitational #3,Unknown,TopClass,Loss,
+,11-04-23,FXO Invitational #3,Unknown,MarineKing,Loss,
+,11-04-23,FXO Invitational #3,Unknown,MarineKing,Loss,
+,11-04-23,FXO Invitational #3,Unknown,Lastshadow,Win,
+,11-04-23,FXO Invitational #3,Unknown,Lastshadow,Win,
+,11-04-22,IPL Season 1,Metalopolis 1.1,KiWiKaKi,Loss,
+,11-04-22,IPL Season 1,Xel&#039;Naga Ca..,KiWiKaKi,Loss,
+,11-04-22,NASL S1,Backwater Gulch,dde,Loss,
+,11-04-22,NASL S1,Crossfire SE,dde,Loss,
+,11-04-21,IPL Season 1,Metalopolis 1.1,Sheth,Win,
+,11-04-21,IPL Season 1,The Shattered Te..,Sheth,Win,
+,11-04-21,IPL Season 1,Xel&#039;Naga Ca..,Sheth,Loss,
+,11-04-14,NASL S1,Metalopolis,Squirtle,Loss,
+,11-04-14,NASL S1,Tal&#039;Darim A..,Squirtle,Loss,
+,11-04-14,NASL S1,Backwater Gulch,Squirtle,Win,
+,11-04-13,SpazCraft Invite #2,Metalopolis 1.1,dde,Loss,
+,11-04-13,SpazCraft Invite #2,Shakuras Plateau,dde,Loss,
+,11-04-13,SpazCraft Invite #2,Xel&#039;Naga Ca..,dde,Win,
+,11-04-13,SpazCraft Invite #2,Crevasse,dde,Loss,
+,11-04-13,SpazCraft Invite #2,Shakuras Plateau,mOoNan,Win,
+,11-04-13,SpazCraft Invite #2,The Shattered Te..,mOoNan,Win,
+,11-04-13,SpazCraft Invite #2,Xel&#039;Naga Ca..,mOoNan,Win,
+,11-04-13,SpazCraft Invite #2,Metalopolis 1.1,mOoNan,Loss,
+,11-04-13,SpazCraft Invite #2,Crevasse,mOoNan,Loss,
+,11-04-13,SpazCraft Invite #2,Shakuras Plateau,dde,Loss,
+,11-04-13,SpazCraft Invite #2,Metalopolis 1.1,dde,Win,
+,11-04-13,SpazCraft Invite #2,Xel&#039;Naga Ca..,dde,Loss,
+,11-04-13,SpazCraft Invite #2,The Shattered Te..,dde,Loss,
+,11-04-13,SpazCraft Invite #2,Crossfire SE,dde,Win,
+,11-04-13,SpazCraft Invite #2,Metalopolis,mOoNan,Win,
+,11-04-13,SpazCraft Invite #2,The Shattered Te..,mOoNan,Win,
+,11-04-13,SpazCraft Invite #2,Typhon Peaks,Skew,Win,
+,11-04-13,SpazCraft Invite #2,The Shattered Te..,Skew,Win,
+,11-04-13,SpazCraft Invite #2,Xel&#039;Naga Ca..,Skew,Loss,
+,11-04-09,HD World Tournament,The Shattered Te..,CatZ,Win,
+,11-04-09,HD World Tournament,Tal&#039;Darim A..,CatZ,Win,
+,11-04-02,MLG Dallas 2011,Crossfire SE,giX,Loss,
+,11-04-02,MLG Dallas 2011,The Shattered Te..,giX,Loss,
+,11-04-02,MLG Dallas 2011,The Shattered Te..,Boo,Win,
+,11-04-02,MLG Dallas 2011,Crossfire SE,Boo,Win,
+,11-04-02,MLG Dallas 2011,Shakuras Plateau..,Tryhard,Win,
+,11-04-02,MLG Dallas 2011,Xel&#039;Naga Ca..,Tryhard,Win,
+,11-04-01,MLG Dallas 2011,The Shattered Te..,Destiny,Win,
+,11-04-01,MLG Dallas 2011,Scrap Station,Destiny,Win,
+,11-04-01,MLG Dallas 2011,Xel&#039;Naga Ca..,Luxurymaster,Win,
+,11-04-01,MLG Dallas 2011,iCCup Testbug,Luxurymaster,Win,
+,11-03-27,Dyr Straits Showma..,Crossfire SE,CatZ,Win,
+,11-03-27,Dyr Straits Showma..,The Shattered Te..,CatZ,Win,
+,11-03-27,Dyr Straits Showma..,Metalopolis,CatZ,Win,
+,11-03-27,Dyr Straits Showma..,Xel&#039;Naga Ca..,CatZ,Win,
+,11-03-26,FXO Invitational #2,Unknown,MC,Loss,
+,11-03-26,FXO Invitational #2,Unknown,MC,Loss,
+,11-03-26,FXO Invitational #2,Unknown,Baz,Win,
+,11-03-26,FXO Invitational #2,Unknown,Baz,Win,
+,11-03-26,FXO Invitational #2,Unknown,SLoG,Loss,
+,11-03-26,FXO Invitational #2,Unknown,SLoG,Win,
+,11-03-26,FXO Invitational #2,Unknown,SLoG,Loss,
+,11-03-18,2011 GCPL S1,Metalopolis,HayprO,Win,
+,11-03-18,2011 GCPL S1,Terminus RE,HayprO,Win,
+,11-03-18,Justin.tv Invite #2,Scrap Station,StrifeCro,Loss,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,StrifeCro,Win,
+,11-03-18,Justin.tv Invite #2,Shakuras Plateau,StrifeCro,Loss,
+,11-03-18,Justin.tv Invite #2,iCCup Fighting S..,avilo,Win,
+,11-03-18,Justin.tv Invite #2,The Shattered Te..,avilo,Win,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,avilo,Loss,
+,11-03-18,Justin.tv Invite #2,The Shattered Te..,Hasuu,Win,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,Hasuu,Win,
+,11-03-18,Justin.tv Invite #2,Shakuras Plateau,MaNa,Loss,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,MaNa,Win,
+,11-03-18,Justin.tv Invite #2,Metalopolis,MaNa,Loss,
+,11-03-13,SGL Season 2,Scrap Station,KiWiKaKi,Loss,
+,11-03-12,2011 GCPL S1,Metalopolis,SeleCT,Win,
+,11-03-12,2011 GCPL S1,Xel&#039;Naga Ca..,SeleCT,Win,
+,11-03-12,2011 GCPL S1,Terminus RE,SeleCT,Loss,
+,11-03-05,SGL Season 2,Metalopolis,Destroyer,Loss,
+,11-03-05,SGL Season 2,Xel&#039;Naga Ca..,PredY,Win,
+,11-02-27,2011 GCPL S1,Lost Temple SC2,SeleCT,Win,
+,11-02-25,Complexity Showmat..,Steppes of War,SjoW,Loss,
+,11-02-25,Complexity Showmat..,Blistering Sands,SjoW,Win,
+,11-02-25,Complexity Showmat..,Shakuras Plateau,SjoW,Loss,
+,11-02-25,Complexity Showmat..,Lost Temple SC2,SjoW,Loss,
+,11-02-25,Complexity Showmat..,Metalopolis,SjoW,Win,
+,11-02-25,Complexity Showmat..,Scrap Station,SjoW,Loss,
+,11-02-25,Complexity Showmat..,Xel&#039;Naga Ca..,SjoW,Win,
+,11-02-20,2011 GCPL S1,Xel&#039;Naga Ca..,Strelok,Win,
+,11-02-20,2011 GCPL S1,Jungle Basin,Strelok,Win,
+,11-02-20,2011 GCPL S1,Lost Temple SC2,MaNa,Win,
+,11-02-19,FXO Invitational #1,Unknown,HasuObs,Loss,
+,11-02-19,FXO Invitational #1,Unknown,HasuObs,Win,
+,11-02-19,FXO Invitational #1,Unknown,HasuObs,Loss,
+,11-02-19,FXO Invitational #1,Lost Temple SC2,MaNa,Loss,
+,11-02-19,FXO Invitational #1,Unknown,MaNa,Loss,
+,11-02-19,FXO Invitational #1,Unknown,GoOdy,Win,
+,11-02-19,FXO Invitational #1,Unknown,GoOdy,Loss,
+,11-02-19,FXO Invitational #1,Unknown,GoOdy,Win,
+,11-02-18,Complexity Showmat..,Steppes of War,SLush,Win,
+,11-02-18,Complexity Showmat..,Shakuras Plateau,SLush,Win,
+,11-02-18,Complexity Showmat..,Xel&#039;Naga Ca..,SLush,Win,
+,11-02-18,Complexity Showmat..,Lost Temple SC2,SLush,Win,
+,11-02-18,Complexity Showmat..,Metalopolis,SLush,Loss,
+,11-02-16,ROOT Invitational,Xel&#039;Naga Ca..,CatZ,Loss,
+,11-02-16,ROOT Invitational,Lost Temple SC2,CatZ,Loss,
