,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-24,Homestory Cup #3,Xel&#039;Naga Ca..,White-Ra,Loss,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,White-Ra,Loss,
+,11-06-24,Homestory Cup #3,Tal&#039;Darim A..,GoOdy,Loss,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,GoOdy,Win,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,GoOdy,Loss,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,Machine,Win,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,Machine,Loss,
+,11-06-24,Homestory Cup #3,Xel&#039;Naga Ca..,Machine,Win,
+,11-06-18,NASL S1,Crossfire SE,NaNiwa,Win,
+,11-06-18,NASL S1,Xel&#039;Naga Ca..,NaNiwa,Win,
+,11-06-18,NASL S1,Metalopolis 1.1,SjoW,Win,
+,11-06-18,NASL S1,Typhon Peaks,SjoW,Loss,
+,11-06-18,NASL S1,Crevasse,SjoW,Win,
+,11-06-09,NASL S1,Metalopolis 1.1,qxc,Loss,
+,11-06-09,NASL S1,Tal&#039;Darim A..,qxc,Win,
+,11-06-09,NASL S1,Backwater Gulch,qxc,Loss,
+,11-06-02,NASL S1,Metalopolis 1.1,SjoW,Win,
+,11-06-02,NASL S1,Tal&#039;Darim A..,SjoW,Win,
+,11-05-28,Sennheiser Cup #16,The Shattered Te..,Welmu,Loss,
+,11-05-28,Sennheiser Cup #16,Xel&#039;Naga Ca..,Welmu,Loss,
+,11-05-26,NASL S1,Typhon Peaks,Ensnare,Win,
+,11-05-26,NASL S1,Crevasse,Ensnare,Win,
+,11-05-26,NASL S1,Metalopolis 1.1,Ensnare,Loss,
+,11-05-26,2011 Dailymotion C..,The Shattered Te..,MorroW,Loss,
+,11-05-26,2011 Dailymotion C..,Shakuras Plateau..,MorroW,Loss,
+,11-05-26,2011 Dailymotion C..,Metalopolis 1.1,MorroW,Win,
+,11-05-26,2011 Dailymotion C..,Xel&#039;Naga Ca..,MorroW,Loss,
+,11-05-23,2011 Dailymotion C..,Terminus SE,Grubby,Win,
+,11-05-23,2011 Dailymotion C..,Shakuras Plateau..,Grubby,Loss,
+,11-05-23,2011 Dailymotion C..,The Shattered Te..,Grubby,Loss,
+,11-05-23,2011 Dailymotion C..,Xel&#039;Naga Ca..,Grubby,Win,
+,11-05-23,2011 Dailymotion C..,Metalopolis 1.1,Grubby,Win,
+,11-05-21,Sennheiser Cup #15,Xel&#039;Naga Ca..,Kas,Loss,
+,11-05-21,Sennheiser Cup #15,Shakuras Plateau..,Kas,Win,
+,11-05-21,Sennheiser Cup #15,The Shattered Te..,Kas,Loss,
+,11-05-21,Sennheiser Cup #15,Terminus SE,Kas,Loss,
+,11-05-21,Sennheiser Cup #15,Terminus SE,MaNa,Win,
+,11-05-21,Sennheiser Cup #15,Xel&#039;Naga Ca..,MaNa,Win,
+,11-05-21,Sennheiser Cup #15,Shakuras Plateau..,ActionJesuz,Win,
+,11-05-21,Sennheiser Cup #15,Metalopolis 1.1,ActionJesuz,Win,
+,11-05-21,Sennheiser Cup #15,Metalopolis 1.1,ActionJesuz,Loss,
+,11-05-19,NASL S1,Typhon Peaks,July,Loss,
+,11-05-19,NASL S1,Crevasse,July,Loss,
+,11-05-18,IPL S2 Qualifiers,Unknown,dde,Win,
+,11-05-18,IPL S2 Qualifiers,Unknown,dde,Win,
+,11-05-18,IPL S2 Qualifiers,Unknown,dde,Loss,
+,11-05-18,IPL S2 Qualifiers,Unknown,dde,Win,
+,11-05-18,IPL S2 Qualifiers,Xel&#039;Naga Ca..,dde,Loss,
+,11-05-12,NASL S1,Xel&#039;Naga Ca..,White-Ra,Loss,
+,11-05-12,NASL S1,Typhon Peaks,White-Ra,Loss,
+,11-05-06,EU Go4SC2 Final #12,Xel&#039;Naga Ca..,Aristeo,Loss,
+,11-05-06,EU Go4SC2 Final #12,The Shattered Te..,Aristeo,Loss,
+,11-05-06,EU Go4SC2 Final #12,Shakuras Plateau..,Aristeo,Win,
+,11-05-05,NASL S1,The Shattered Te..,iNcontroL,Win,
+,11-05-05,NASL S1,Xel&#039;Naga Ca..,iNcontroL,Win,
+,11-05-05,2011 Dailymotion C..,Terminus SE,RineTS,Win,
+,11-05-05,2011 Dailymotion C..,Metalopolis 1.1,RineTS,Win,
+,11-05-05,2011 Dailymotion C..,Shakuras Plateau..,RineTS,Loss,
+,11-05-05,2011 Dailymotion C..,The Shattered Te..,Happy,Loss,
+,11-05-05,2011 Dailymotion C..,Tal&#039;Darim A..,Happy,Loss,
+,11-05-05,2011 Dailymotion C..,The Shattered Te..,White-Ra,Win,
+,11-05-05,2011 Dailymotion C..,Xel&#039;Naga Ca..,White-Ra,Win,
+,11-05-05,2011 Dailymotion C..,Terminus SE,White-Ra,Loss,
+,11-05-03,Endrey.com Series ..,Terminus SE,Kas,Win,
+,11-05-03,Endrey.com Series ..,Metalopolis 1.1,Kas,Loss,
+,11-05-03,Endrey.com Series ..,The Shattered Te..,Kas,Loss,
+,11-05-03,Endrey.com Series ..,Crossfire SE,Kas,Win,
+,11-05-03,Endrey.com Series ..,Tal&#039;Darim A..,Kas,Win,
+,11-05-01,EU Go4SC2 #100 Inv..,Terminus SE,Kas,Loss,
+,11-05-01,EU Go4SC2 #100 Inv..,Tal&#039;Darim A..,Kas,Win,
+,11-05-01,EU Go4SC2 #100 Inv..,The Shattered Te..,Kas,Loss,
+,11-04-28,NASL S1,Crossfire SE,TT1,Win,
+,11-04-28,NASL S1,Terminus RE,TT1,Loss,
+,11-04-28,NASL S1,The Shattered Te..,TT1,Win,
+,11-04-25,EU Champions Troph..,The Shattered Te..,Nerchio,Loss,
+,11-04-25,EU Champions Troph..,Tal&#039;Darim A..,Nerchio,Loss,
+,11-04-25,EU Champions Troph..,Tal&#039;Darim A..,Jimpo,Win,
+,11-04-25,EU Champions Troph..,Crevasse,Jimpo,Win,
+,11-04-25,EU Champions Troph..,Terminus SE,Jimpo,Loss,
