,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-18,US Craftcup #37,Tal&#039;Darim A..,ChAnCe,Loss,
+,11-06-18,US Craftcup #37,Shakuras Plateau..,ChAnCe,Loss,
+,11-06-18,US Craftcup #37,Crevasse,ChAnCe,Win,
+,11-06-17,Toronto QFTB,Crevasse,IefNaij,Loss,
+,11-06-17,Toronto QFTB,The Shattered Te..,IefNaij,Loss,
+,11-06-17,Toronto QFTB,Shakuras Plateau..,TheDoctor,Win,
+,11-06-17,Toronto QFTB,Xel&#039;Naga Ca..,TheDoctor,Win,
+,11-06-04,NA ZOTAC Cup #4,Unknown,Deezer,Loss,
+,11-06-04,NA ZOTAC Cup #4,Unknown,Deezer,Win,
+,11-06-04,NA ZOTAC Cup #4,Unknown,Deezer,Loss,
+,11-06-04,NA ZOTAC Cup #4,Unknown,JediGamer,Win,
+,11-06-04,NA ZOTAC Cup #4,Unknown,JediGamer,Win,
+,11-05-22,NA Champions Troph..,Tal&#039;Darim A..,SeleCT,Loss,
+,11-05-22,NA Champions Troph..,Terminus RE,SeleCT,Loss,
+,11-05-07,SAGAcity Invitatio..,(?),TOP,Loss,
+,11-05-07,SAGAcity Invitatio..,Metalopolis GomTV,TOP,Loss,
+,11-05-06,SAGAcity Invitatio..,(?),NesTea,Win,
+,11-05-06,SAGAcity Invitatio..,(?),NesTea,Loss,
+,11-05-06,SAGAcity Invitatio..,Xel&#039;Naga Ca..,NesTea,Win,
+,11-03-21,Competo Cup #32,The Shattered Te..,Seiplo,Loss,
+,11-03-21,Competo Cup #32,Xel&#039;Naga Ca..,Seiplo,Loss,
+,11-03-21,Competo Cup #32,iCCup Testbug,Seiplo,Loss,
+,11-03-21,Competo Cup #32,Tal&#039;Darim A..,mOoNan,Win,
+,11-03-21,Competo Cup #32,Metalopolis,mOoNan,Loss,
+,11-03-21,Competo Cup #32,Terminus RE,mOoNan,Win,
+,11-03-21,Competo Cup #32,Unknown,jackhightech,Win,
+,11-03-21,Competo Cup #32,Unknown,jackhightech,Loss,
+,11-03-21,Competo Cup #32,Unknown,jackhightech,Win,
+,11-03-18,Justin.tv Invite #2,Metalopolis,iNSoLeNCE,Loss,
+,11-03-11,HC Masters Cup,Typhon Peaks,ReSpOnSe,Loss,
+,11-03-11,HC Masters Cup,The Shattered Te..,ReSpOnSe,Win,
+,11-03-11,HC Masters Cup,Shakuras Plateau,ReSpOnSe,Win,
+,11-03-11,HC Masters Cup,Xel&#039;Naga Ca..,ReSpOnSe,Loss,
+,11-03-11,HC Masters Cup,Metalopolis,ReSpOnSe,Loss,
+,11-03-11,HC Masters Cup,Scrap Station,mOoNan,Win,
+,11-03-11,HC Masters Cup,The Shattered Te..,mOoNan,Loss,
+,11-03-11,HC Masters Cup,Xel&#039;Naga Ca..,mOoNan,Win,
+,11-03-11,HC Masters Cup,Metalopolis,mOoNan,Loss,
+,11-03-11,HC Masters Cup,Shakuras Plateau,mOoNan,Win,
+,11-03-11,HC Masters Cup,Scrap Station,Flashback,Win,
+,11-03-11,HC Masters Cup,Xel&#039;Naga Ca..,Flashback,Loss,
+,11-03-11,HC Masters Cup,The Shattered Te..,Flashback,Win,
+,11-03-11,HC Masters Cup,Metalopolis,KroLu,Win,
+,11-03-11,HC Masters Cup,Backwater Gulch,KroLu,Win,
+,11-03-04,Das Keyboard Open,Metalopolis,HasHe,Win,
+,11-03-04,Das Keyboard Open,The Shattered Te..,HasHe,Win,
+,11-03-04,Das Keyboard Open,Xel&#039;Naga Ca..,HasHe,Win,
+,11-03-04,Das Keyboard Open,iCCup Testbug,HasHe,Loss,
+,11-03-04,Das Keyboard Open,Steppes of War,YeN,Win,
+,11-03-04,Das Keyboard Open,Xel&#039;Naga Ca..,YeN,Loss,
+,11-03-04,Das Keyboard Open,Tal&#039;Darim A..,YeN,Win,
+,11-03-04,Das Keyboard Open,Xel&#039;Naga Ca..,swizz,Win,
+,11-03-04,Das Keyboard Open,Metalopolis,swizz,Win,
+,11-02-20,SGL Season 2,Xel&#039;Naga Ca..,Beastyqt,Loss,
+,11-02-20,SGL Season 2,Lost Temple SC2,Kas,Win,
+,11-02-20,SGL Season 2,Metalopolis,Aristeo,Win,
+,11-02-20,SGL Season 2,Lost Temple SC2,KroLu,Win,
+,11-02-19,FXO Invitational #1,Shakuras Plateau,Attero,Loss,
+,11-02-19,FXO Invitational #1,Xel&#039;Naga Ca..,Attero,Win,
+,11-02-19,FXO Invitational #1,Metalopolis,Attero,Loss,
+,11-02-19,FXO Invitational #1,Unknown,NaNiwa,Loss,
+,11-02-19,FXO Invitational #1,Unknown,NaNiwa,Loss,
+,11-02-16,2011 GCPL S1,Blistering Sands,Azz,Win,
+,11-02-15,ROOT Invitational,Metalopolis,Zelniq,Loss,
+,11-02-15,ROOT Invitational,Lost Temple SC2,Zelniq,Win,
