,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-24,Homestory Cup #3,Crevasse,XlorD,Loss,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,XlorD,Win,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,XlorD,Loss,
+,11-06-24,Homestory Cup #3,Xel&#039;Naga Ca..,Tyler,Win,
+,11-06-24,Homestory Cup #3,The Shattered Te..,Tyler,Win,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,MC,Loss,
+,11-06-24,Homestory Cup #3,Xel&#039;Naga Ca..,MC,Loss,
+,11-06-20,Gigabyte Cup #2,Shakuras Plateau..,Nerchio,Loss,
+,11-06-20,Gigabyte Cup #2,iCCup Testbug,Nerchio,Loss,
+,11-06-20,Gigabyte Cup #2,Metalopolis 1.1,Nerchio,Loss,
+,11-06-20,Gigabyte Cup #2,Metalopolis 1.1,LoWeLy,Win,
+,11-06-20,Gigabyte Cup #2,The Shattered Te..,LoWeLy,Loss,
+,11-06-20,Gigabyte Cup #2,Shakuras Plateau..,LoWeLy,Win,
+,11-06-20,Gigabyte Cup #2,Xel&#039;Naga Ca..,Turuk,Win,
+,11-06-20,Gigabyte Cup #2,The Shattered Te..,Turuk,Win,
+,11-06-14,EG Masters Cup #5,Shakuras Plateau..,ParanOid,Loss,
+,11-06-14,EG Masters Cup #5,Xel&#039;Naga Ca..,ParanOid,Win,
+,11-06-14,EG Masters Cup #5,Crossfire SE,ParanOid,Loss,
+,11-06-07,EG Masters Cup #5,The Shattered Te..,MorroW,Win,
+,11-06-07,EG Masters Cup #5,Tal&#039;Darim A..,MorroW,Loss,
+,11-06-07,EG Masters Cup #5,Metalopolis 1.1,MorroW,Win,
+,11-06-04,MLG Columbus 2011,iCCup Testbug,Mystik,Loss,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,Mystik,Loss,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,Mystik,Win,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,Lambtoy,Win,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,Lambtoy,Win,
+,11-05-24,EG Masters Cup #5,Tal&#039;Darim A..,NightEnD,Loss,
+,11-05-24,EG Masters Cup #5,Shakuras Plateau..,NightEnD,Loss,
+,11-05-21,EU Champions Troph..,Tal&#039;Darim A..,DIMAGA,Loss,
+,11-05-21,EU Champions Troph..,Xel&#039;Naga Ca..,DIMAGA,Loss,
+,11-05-17,EG Masters Cup #5,Xel&#039;Naga Ca..,Stephano,Loss,
+,11-05-17,EG Masters Cup #5,Tal&#039;Darim A..,Stephano,Loss,
