,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-26,US Go4SC2 Cup #68,(?),ChiTa,Win,
+,11-06-26,US Go4SC2 Cup #68,(?),ChiTa,Win,
+,11-06-26,US Go4SC2 Cup #68,iCCup Enigma,ChiTa,Win,
+,11-06-26,US Go4SC2 Cup #68,(?),Ghost,Win,
+,11-06-26,US Go4SC2 Cup #68,Crevasse,Ghost,Win,
+,11-06-26,US Go4SC2 Cup #68,(?),COol,Win,
+,11-06-26,US Go4SC2 Cup #68,Terminus SE,COol,Win,
+,11-06-25,TeamSpeak TL Open ..,Tal&#039;Darim A..,Hack,Loss,
+,11-06-25,TeamSpeak TL Open ..,Shakuras Plateau..,Hack,Loss,
+,11-06-25,TeamSpeak TL Open ..,Metalopolis 1.1,Hack,Win,
+,11-06-25,TeamSpeak TL Open ..,Xel&#039;Naga Ca..,Puzzle,Win,
+,11-06-25,TeamSpeak TL Open ..,Shakuras Plateau..,Puzzle,Win,
+,11-06-25,TeamSpeak TL Open ..,Metalopolis 1.1,Forsen,Win,
+,11-06-25,TeamSpeak TL Open ..,The Shattered Te..,Forsen,Win,
+,11-06-22,EU Go4SC2 Cup #115,(?),Slider,Loss,
+,11-06-22,EU Go4SC2 Cup #115,The Shattered Te..,Slider,Loss,
+,11-06-22,EU Go4SC2 Cup #115,(?),Matiz,Win,
+,11-06-22,EU Go4SC2 Cup #115,(?),Matiz,Win,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,MorroW,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,MorroW,Loss,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,BRAT_OK,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,BRAT_OK,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,BRAT_OK,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,DIMAGA,Loss,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,DIMAGA,Loss,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,NightEnD,Loss,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,NightEnD,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,NightEnD,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Socke,Loss,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,Socke,Loss,
+,11-06-15,EG Masters Cup #5,The Shattered Te..,Minigun,Win,
+,11-06-12,EU Go4SC2 Cup #112,Xel&#039;Naga Ca..,Satiini,Loss,
+,11-06-12,EU Go4SC2 Cup #112,The Shattered Te..,Satiini,Win,
+,11-06-12,EU Go4SC2 Cup #112,Tal&#039;Darim A..,Satiini,Loss,
+,11-06-10,2011 Dailymotion C..,iCCup Neo Enigma,Kas,Win,
+,11-06-10,2011 Dailymotion C..,Xel&#039;Naga Ca..,Kas,Loss,
+,11-06-10,2011 Dailymotion C..,Metalopolis 1.1,Kas,Loss,
+,11-06-10,2011 Dailymotion C..,Tal&#039;Darim A..,Kas,Win,
+,11-06-10,2011 Dailymotion C..,Shakuras Plateau..,Kas,Win,
+,11-06-07,EU Go4SC2 Final #13,Shakuras Plateau..,Knutzi,Loss,
+,11-06-07,EU Go4SC2 Final #13,Xel&#039;Naga Ca..,Knutzi,Loss,
+,11-06-07,RageQuit Open #5,Xel&#039;Naga Ca..,MoMaN,Win,
+,11-06-07,RageQuit Open #5,Tal&#039;Darim A..,MoMaN,Loss,
+,11-06-07,RageQuit Open #5,iCCup Testbug,MoMaN,Win,
+,11-06-07,RageQuit Open #5,Terminus SE,MoMaN,Win,
