,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-25,TeamSpeak TL Open ..,Xel&#039;Naga Ca..,Puzzle,Loss,
+,11-06-25,TeamSpeak TL Open ..,Shakuras Plateau..,Puzzle,Win,
+,11-06-25,TeamSpeak TL Open ..,The Shattered Te..,Puzzle,Loss,
+,11-06-25,NA ZOTAC Cup #7,Shakuras Plateau..,Perfect,Loss,
+,11-06-25,NA ZOTAC Cup #7,Terminus SE,Perfect,Loss,
+,11-06-25,NA ZOTAC Cup #7,Tal&#039;Darim A..,Perfect,Win,
+,11-04-24,Copenhagen Games 2..,Terminus SE,Grubby,Loss,
+,11-04-24,Copenhagen Games 2..,Xel&#039;Naga Ca..,Grubby,Win,
+,11-04-24,Copenhagen Games 2..,Shakuras Plateau..,Grubby,Loss,
+,11-04-24,Copenhagen Games 2..,Tal&#039;Darim A..,Naama,Win,
+,11-04-24,Copenhagen Games 2..,Terminus RE,Naama,Win,
+,11-02-17,Viking Cup #30,Unknown,FuRy,Loss,
+,11-02-17,Viking Cup #30,Unknown,FuRy,Win,
+,11-02-17,Viking Cup #30,Unknown,FuRy,Loss,
+,11-02-11,ASSEMBLY Winter 2011,Jungle Basin,LiveZerg,Loss,
+,11-02-11,ASSEMBLY Winter 2011,Shakuras Plateau,LiveZerg,Loss,
+,11-02-11,ASSEMBLY Winter 2011,Metalopolis,TLO,Loss,
+,11-02-11,ASSEMBLY Winter 2011,Lost Temple SC2,TLO,Loss,
+,11-02-11,ASSEMBLY Winter 2011,Metalopolis,Mayhemia,Win,
+,11-02-11,ASSEMBLY Winter 2011,Shakuras Plateau,Mayhemia,Win,
+,11-02-03,Viking Cup #28,Unknown,Satiini,Loss,
+,11-02-03,Viking Cup #28,Unknown,Satiini,Loss,
+,11-01-27,Viking Cup #27,Metalopolis,NaNiwa,Loss,
+,11-01-08,TeamSpeak TL Open #8,Jungle Basin,HasuObs,Loss,
+,11-01-08,TeamSpeak TL Open #8,Scrap Station,HasuObs,Loss,
+,11-01-06,Viking Cup #24,(?),NaNiwa,Loss,
+,11-01-06,Viking Cup #24,Shakuras Plateau,NaNiwa,Loss,
+,11-01-06,Viking Cup #24,(?),fupmageR,Win,
+,11-01-06,Viking Cup #24,Metalopolis,fupmageR,Win,
+,10-11-27,TeamSpeak TL Open #4,Delta Quadrant,Nerchio,Loss,
+,10-11-27,TeamSpeak TL Open #4,Steppes of War,Nerchio,Loss,
+,10-11-27,TeamSpeak TL Open #4,Xel&#039;Naga Ca..,Nerchio,Loss,
+,10-11-27,TeamSpeak TL Open #4,Shakuras Plateau,Joe,Win,
+,10-11-27,TeamSpeak TL Open #4,Metalopolis,Joe,Win,
+,10-11-27,TeamSpeak TL Open #4,Steppes of War,Breach,Win,
+,10-11-27,TeamSpeak TL Open #4,Shakuras Plateau,Breach,Win,
+,10-11-27,TeamSpeak TL Open #4,Metalopolis,Drafter,Win,
+,10-11-27,TeamSpeak TL Open #4,Lost Temple SC2,Drafter,Win,
+,10-11-21,EU ZOTAC Cup #32,Scrap Station,DIMAGA,Loss,
+,10-11-21,EU ZOTAC Cup #32,Steppes of War,DIMAGA,Win,
+,10-11-21,EU ZOTAC Cup #32,Xel&#039;Naga Ca..,DIMAGA,Loss,
+,10-11-18,Viking Cup #20,Shakuras Plateau,LaLuSh,Loss,
+,10-11-18,Viking Cup #20,Steppes of War,LaLuSh,Win,
+,10-11-18,Viking Cup #20,Metalopolis,LaLuSh,Loss,
+,10-10-20,EU CraftCup #12,Lost Temple SC2,KroLu,Loss,
+,10-10-20,EU CraftCup #12,Steppes of War,KroLu,Loss,
+,10-10-15,EU CraftCup #10,Steppes of War,DieStar,Loss,
+,10-10-15,EU CraftCup #10,Lost Temple SC2,DieStar,Loss,
