,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-25,Homestory Cup #3,The Shattered Te..,Tarson,Loss,
+,11-06-25,Homestory Cup #3,Dual Sight,Tarson,Loss,
+,11-06-25,Homestory Cup #3,Shakuras Plateau..,Tarson,Win,
+,11-06-25,Homestory Cup #3,Crevasse,HuK,Loss,
+,11-06-25,Homestory Cup #3,The Shattered Te..,HuK,Loss,
+,11-06-25,Homestory Cup #3,Metalopolis 1.1,HuK,Win,
+,11-06-25,Homestory Cup #3,Shakuras Plateau..,Socke,Win,
+,11-06-25,Homestory Cup #3,Tal&#039;Darim A..,Socke,Win,
+,11-06-25,Homestory Cup #3,The Shattered Te..,Tarson,Win,
+,11-06-25,Homestory Cup #3,Shakuras Plateau..,Tarson,Win,
+,11-06-23,Homestory Cup #3,Terminus SE,ClouD,Win,
+,11-06-23,Homestory Cup #3,Shakuras Plateau..,ClouD,Loss,
+,11-06-23,Homestory Cup #3,Crevasse,ClouD,Win,
+,11-06-23,Homestory Cup #3,Metalopolis 1.1,Delphi,Win,
+,11-06-23,Homestory Cup #3,Shakuras Plateau..,Delphi,Win,
+,11-06-23,Homestory Cup #3,Terminus SE,Grubby,Win,
+,11-06-23,Homestory Cup #3,Shakuras Plateau..,Grubby,Win,
+,11-06-23,Homestory Cup #3,Metalopolis 1.1,Grubby,Loss,
+,11-06-19,EG Masters Cup #5,Metalopolis,dde,Win,
+,11-06-19,EG Masters Cup #5,Metalopolis,dde,Loss,
+,11-06-19,EG Masters Cup #5,Metalopolis 1.1,dde,Win,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,MC,Loss,
+,11-06-19,2011 Dreamhack Sum..,Crevasse,MC,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,Kas,Win,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,Kas,Loss,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,Kas,Win,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,SaSe,Loss,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,SaSe,Loss,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,Grubby,Win,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Grubby,Win,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,Naama,Win,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,Naama,Win,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,Naama,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,meRz,Loss,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,meRz,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,meRz,Win,
+,11-06-15,NASL S1,Backwater Gulch,Zenio,Loss,
+,11-06-15,NASL S1,Terminus RE,Zenio,Loss,
+,11-06-15,NASL S1,Tal&#039;Darim A..,MaNa,Win,
+,11-06-15,NASL S1,Metalopolis 1.1,MaNa,Win,
+,11-06-14,EG Masters Cup #5,Shakuras Plateau..,ParanOid,Win,
+,11-06-14,EG Masters Cup #5,Tal&#039;Darim A..,ParanOid,Win,
+,11-06-14,EG Masters Cup #5,The Shattered Te..,ClouD,Win,
+,11-06-14,EG Masters Cup #5,The Shattered Te..,ClouD,Win,
+,11-06-14,NASL S1,Terminus RE,NaDa,Loss,
+,11-06-14,NASL S1,Xel&#039;Naga Ca..,SjoW,Loss,
+,11-06-12,NASL S1,Typhon Peaks,BoxeR,Loss,
+,11-06-12,NASL S1,Crevasse,BoxeR,Loss,
+,11-06-07,EG Masters Cup #5,Tal&#039;Darim A..,HasuObs,Win,
+,11-06-07,EG Masters Cup #5,Terminus RE,HasuObs,Win,
+,11-06-05,NASL S1,Xel&#039;Naga Ca..,Drewbie,Win,
+,11-06-05,NASL S1,Typhon Peaks,Drewbie,Win,
+,11-06-05,MLG Columbus 2011,iCCup Testbug,MC,Loss,
+,11-06-05,MLG Columbus 2011,Typhon Peaks,MC,Loss,
