,Date&nbsp;,League,Map,Opponent,Result,
+,11-04-24,Copenhagen Games 2..,Metalopolis 1.1,MC,Loss,
+,11-04-24,Copenhagen Games 2..,Xel&#039;Naga Ca..,MC,Loss,
+,11-04-24,Copenhagen Games 2..,Xel&#039;Naga Ca..,meRz,Win,
+,11-04-24,Copenhagen Games 2..,Tal&#039;Darim A..,meRz,Loss,
+,11-04-24,Copenhagen Games 2..,Shakuras Plateau..,meRz,Win,
+,11-04-24,Copenhagen Games 2..,Crossfire SE,TheWinD,Win,
+,11-04-24,Copenhagen Games 2..,Xel&#039;Naga Ca..,TheWinD,Win,
+,11-03-23,EU Champions Troph..,Unknown,Cytoplasm,Loss,
+,11-03-23,EU Champions Troph..,Unknown,Cytoplasm,Loss,
+,11-03-23,EU Champions Troph..,Unknown,meRz,Win,
+,11-03-23,EU Champions Troph..,Unknown,meRz,Win,
+,11-02-28,Competo Cup #29,Metalopolis,elfi,Loss,
+,11-02-28,Competo Cup #29,Xel&#039;Naga Ca..,elfi,Loss,
+,11-02-28,Competo Cup #29,iCCup Testbug,elfi,Loss,
+,11-02-28,Competo Cup #29,Scrap Station,ActionJesuz,Win,
+,11-02-28,Competo Cup #29,Xel&#039;Naga Ca..,ActionJesuz,Win,
+,11-02-28,Competo Cup #29,Terminus RE,ActionJesuz,Loss,
+,11-02-28,Competo Cup #29,(?),Vitriolic,Win,
+,11-02-28,Competo Cup #29,(?),Vitriolic,Loss,
+,11-02-28,Competo Cup #29,(?),Vitriolic,Win,
+,11-02-24,Viking Cup #31 Final,Unknown,Satiini,Loss,
+,11-02-24,Viking Cup #31 Final,Unknown,Satiini,Loss,
+,11-02-24,Viking Cup #31 Final,Scrap Station,Zyrre,Win,
+,11-02-24,Viking Cup #31 Final,Xel&#039;Naga Ca..,Zyrre,Win,
+,11-02-05,TeamSpeak TL Open ..,Xel&#039;Naga Ca..,ClouD,Loss,
+,11-02-05,TeamSpeak TL Open ..,Lost Temple SC2,ClouD,Loss,
+,11-02-05,TeamSpeak TL Open ..,Shakuras Plateau,cHoBo,Win,
+,11-02-05,TeamSpeak TL Open ..,Scrap Station,cHoBo,Win,
+,11-02-03,Viking Cup #28,Unknown,elfi,Loss,
+,11-02-02,EU Go4SC2 Cup #78,Xel&#039;Naga Ca..,MaNa,Win,
+,11-02-02,EU Go4SC2 Cup #78,Metalopolis,MaNa,Win,
+,11-02-02,EU Go4SC2 Cup #78,Lost Temple SC2,MaNa,Win,
+,11-02-02,EU Go4SC2 Cup #78,Shakuras Plateau,MaNa,Loss,
+,11-02-02,EU Go4SC2 Cup #78,Lost Temple SC2,Unleashed,Win,
+,11-02-02,EU Go4SC2 Cup #78,Xel&#039;Naga Ca..,Unleashed,Win,
+,11-02-02,EU Go4SC2 Cup #78,Unknown,VERDI,Win,
+,11-02-02,EU Go4SC2 Cup #78,Xel&#039;Naga Ca..,VERDI,Win,
+,11-01-29,EU Champions Troph..,Unknown,NaNiwa,Loss,
+,11-01-29,EU Champions Troph..,Delta Quadrant,NaNiwa,Loss,
+,11-01-29,EU Champions Troph..,Unknown,inuh,Win,
+,11-01-29,EU Champions Troph..,Lost Temple SC2,inuh,Win,
+,11-01-27,Viking Cup #27,Metalopolis,elfi,Loss,
