,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,OpTiKzErO,Loss,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,OpTiKzErO,Loss,
+,11-06-04,MLG Columbus 2011,iCCup Testbug,OpTiKzErO,Win,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,Lizzuma,Win,
+,11-06-04,MLG Columbus 2011,Xel&#039;Naga Ca..,Lizzuma,Loss,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,Lizzuma,Win,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,Arcanne,Win,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,Arcanne,Win,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,LuckyFool,Win,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,LuckyFool,Win,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,souL,Win,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,souL,Win,
+,11-04-02,MLG Dallas 2011,Xel&#039;Naga Ca..,Sheth,Loss,
+,11-04-02,MLG Dallas 2011,The Shattered Te..,Sheth,Loss,
+,11-04-02,MLG Dallas 2011,Xel&#039;Naga Ca..,CrunCher,Win,
+,11-04-02,MLG Dallas 2011,Crossfire SE,CrunCher,Win,
+,11-04-02,MLG Dallas 2011,Metalopolis 1.1,Bonkarooni,Win,
+,11-04-02,MLG Dallas 2011,Xel&#039;Naga Ca..,Bonkarooni,Win,
+,11-04-01,MLG Dallas 2011,Shakuras Plateau..,Whiplash,Win,
+,11-04-01,MLG Dallas 2011,Crossfire SE,Whiplash,Win,
+,11-04-01,MLG Dallas 2011,Scrap Station,Whiplash,Loss,
+,11-04-01,MLG Dallas 2011,Xel&#039;Naga Ca..,CatZ,Loss,
+,11-04-01,MLG Dallas 2011,iCCup Testbug,CatZ,Loss,
+,11-02-15,ROOT Invitational,Shakuras Plateau,KiWiKaKi,Loss,
+,11-02-15,ROOT Invitational,Xel&#039;Naga Ca..,KiWiKaKi,Loss,
+,11-01-18,VT Open #2,Unknown,bLuR,Loss,
+,11-01-18,VT Open #2,Unknown,bLuR,Loss,
+,11-01-18,VT Open #2,Metalopolis,bLuR,Loss,
+,11-01-17,VT Open #2,Unknown,desRow,Win,
+,11-01-17,VT Open #2,Unknown,desRow,Loss,
+,11-01-17,VT Open #2,Unknown,desRow,Win,
+,11-01-17,VT Open #2,Unknown,Gatored,Win,
+,11-01-17,VT Open #2,Steppes of War,Gatored,Win,
+,11-01-14,FXO StS Invitational,(?),oGsHero,Loss,
+,11-01-14,FXO StS Invitational,(?),oGsHero,Loss,
+,11-01-14,FXO StS Invitational,(?),Attero,Win,
+,11-01-14,FXO StS Invitational,(?),Attero,Loss,
+,11-01-14,FXO StS Invitational,(?),Attero,Win,
+,11-01-14,FXO StS Invitational,(?),TT1,Loss,
+,11-01-14,FXO StS Invitational,(?),TT1,Loss,
+,11-01-01,US CraftCup #17,Lost Temple SC2,mkengyn,Loss,
+,11-01-01,US CraftCup #17,Metalopolis,mkengyn,Loss,
+,11-01-01,US CraftCup #17,Xel&#039;Naga Ca..,mkengyn,Loss,
+,11-01-01,US CraftCup #17,Delta Quadrant,mkengyn,Win,
+,11-01-01,US CraftCup #17,Lost Temple SC2,Attero,Win,
+,11-01-01,US CraftCup #17,Steppes of War,Attero,Loss,
+,11-01-01,US CraftCup #17,Metalopolis,Attero,Win,
+,11-01-01,US CraftCup #17,Xel&#039;Naga Ca..,ThisIsJimmy,Win,
+,11-01-01,US CraftCup #17,Metalopolis,ThisIsJimmy,Win,
+,10-10-08,IEM America S5,Xel&#039;Naga Ca..,HuK,Loss,
+,10-10-08,IEM America S5,Scrap Station,HuK,Loss,
+,10-10-08,IEM America S5,Metalopolis,HuK,Win,
+,10-10-08,IEM America S5,Xel&#039;Naga Ca..,Suggy,Win,
+,10-10-08,IEM America S5,Metalopolis,Suggy,Win,
+,10-10-08,IEM America S5,Delta Quadrant,Suggy,Loss,
+,10-10-08,IEM America S5,Metalopolis,Drewbie,Loss,
+,10-10-08,IEM America S5,Lost Temple SC2,Drewbie,Loss,
+,10-09-27,Big T Brawl Prelims,Lost Temple SC2,TT1,Loss,
+,10-09-27,Big T Brawl Prelims,Metalopolis,TT1,Loss,
+,10-09-17,LND Showmatch #1,Unknown,SeleCT,Loss,
+,10-09-17,LND Showmatch #1,Unknown,SeleCT,Loss,
+,10-09-17,LND Showmatch #1,Unknown,SeleCT,Win,
+,10-09-17,LND Showmatch #1,Unknown,SeleCT,Loss,
+,10-09-08,Undeniable #2,Lost Temple SC2,Spades,Win,
+,10-09-08,Undeniable #2,Xel&#039;Naga Ca..,Spades,Loss,
+,10-09-08,Undeniable #2,Blistering Sands,Spades,Win,
+,10-09-05,Undeniable #1,Metalopolis,Ryze,Win,
+,10-09-05,Undeniable #1,Steppes of War,Ryze,Loss,
+,10-09-05,Undeniable #1,Lost Temple SC2,Ryze,Win,
+,10-09-05,IEM America S5,Lost Temple SC2,qxc,Win,
