,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,Sen,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,Sen,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,MC,Loss,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,MC,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,MC,Win,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,Adelscott,Loss,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,Adelscott,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Adelscott,Win,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,ClouD,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,ClouD,Loss,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,ClouD,Win,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,TT1,Loss,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,TT1,Loss,
+,11-06-01,EU Go4SC2 Cup #110,Terminus SE,Skruffy,Win,
+,11-06-01,EU Go4SC2 Cup #110,Metalopolis 1.1,Skruffy,Win,
+,11-06-01,EU Go4SC2 Cup #110,The Shattered Te..,Underdark,Loss,
+,11-06-01,EU Go4SC2 Cup #110,Metalopolis 1.1,Underdark,Loss,
+,11-06-01,EU Go4SC2 Cup #110,Shakuras Plateau..,DBS,Win,
+,11-06-01,EU Go4SC2 Cup #110,Metalopolis 1.1,DBS,Win,
+,11-05-21,2011 WCG Sweden Qu..,Metalopolis 1.1,LaLuSh,Loss,
+,11-05-21,2011 WCG Sweden Qu..,Shakuras Plateau..,LaLuSh,Loss,
+,11-05-21,2011 WCG Sweden Qu..,Xel&#039;Naga Ca..,LaLuSh,Win,
+,11-05-21,2011 WCG Sweden Qu..,Xel&#039;Naga Ca..,Cytoplasm,Win,
+,11-05-21,2011 WCG Sweden Qu..,Metalopolis 1.1,Cytoplasm,Win,
+,11-05-21,2011 WCG Sweden Qu..,Metalopolis 1.1,HayprO,Win,
+,11-05-21,2011 WCG Sweden Qu..,Shakuras Plateau..,HayprO,Win,
+,11-05-21,2011 WCG Sweden Qu..,Crevasse,SjoW,Win,
+,11-05-21,2011 WCG Sweden Qu..,Crossfire SE,SjoW,Win,
+,11-05-16,GameCreds Cup #14,Shakuras Plateau..,DieStar,Loss,
+,11-05-16,GameCreds Cup #14,Xel&#039;Naga Ca..,DieStar,Loss,
+,11-04-25,EU Champions Troph..,The Shattered Te..,GoOdy,Loss,
+,11-04-25,EU Champions Troph..,Tal&#039;Darim A..,GoOdy,Loss,
+,11-04-25,EU Champions Troph..,Xel&#039;Naga Ca..,Delphi,Win,
+,11-04-25,EU Champions Troph..,iCCup Testbug,Delphi,Win,
+,11-04-23,FXO Invitational #3,Unknown,Roll,Loss,
+,11-04-23,FXO Invitational #3,Unknown,Roll,Loss,
+,11-04-23,FXO Invitational #3,Terminus RE,LoWeLy,Loss,
+,11-04-23,FXO Invitational #3,Metalopolis 1.1,LoWeLy,Win,
+,11-04-23,FXO Invitational #3,The Shattered Te..,LoWeLy,Loss,
+,11-04-20,EU Go4SC2 Cup #99,Unknown,KnowMe,Loss,
+,11-04-20,EU Go4SC2 Cup #99,Unknown,KnowMe,Win,
+,11-04-20,EU Go4SC2 Cup #99,Unknown,KnowMe,Loss,
+,11-04-10,EU ZOTAC Cup #51,Shakuras Plateau..,monchi,Loss,
+,11-04-10,EU ZOTAC Cup #51,iCCup Testbug,monchi,Loss,
+,11-03-28,Competo Cup #33,Metalopolis,MoMaN,Loss,
+,11-03-28,Competo Cup #33,iCCup Pawn Re,MoMaN,Loss,
+,11-03-28,Competo Cup #33,iCCup Testbug,StarEagle,Win,
+,11-03-28,Competo Cup #33,Xel&#039;Naga Ca..,StarEagle,Loss,
+,11-03-28,Competo Cup #33,Tal&#039;Darim A..,StarEagle,Win,
+,11-03-26,FXO Invitational #2,Unknown,MarineKing,Loss,
+,11-03-26,FXO Invitational #2,Unknown,MarineKing,Win,
+,11-03-26,FXO Invitational #2,Unknown,MarineKing,Loss,
+,11-03-26,FXO Invitational #2,Unknown,StrifeCro,Win,
+,11-03-26,FXO Invitational #2,Unknown,StrifeCro,Win,
+,11-03-26,FXO Invitational #2,Unknown,InCa,Win,
+,11-03-26,FXO Invitational #2,Unknown,InCa,Loss,
+,11-03-26,FXO Invitational #2,Unknown,InCa,Win,
