,Date&nbsp;,League,Map,Opponent,Result,
+,11-05-07,Sennheiser Cup #13,Terminus SE,DeliCato,Win,
+,11-05-07,Sennheiser Cup #13,Xel&#039;Naga Ca..,DeliCato,Win,
+,11-05-05,4pl.de CC #2011-39,Typhon Peaks,Jimpo,Win,
+,11-05-05,4pl.de CC #2011-39,Xel&#039;Naga Ca..,Jimpo,Win,
+,11-05-05,4pl.de CC #2011-39,Crevasse,Jimpo,Loss,
+,11-05-05,4pl.de CC #2011-39,Metalopolis,Masterok,Loss,
+,11-05-05,4pl.de CC #2011-39,Terminus RE,Masterok,Loss,
+,11-05-05,4pl.de CC #2011-39,Crevasse,Masterok,Win,
+,11-04-17,SC2CL S2: Master,Unknown,Osho,Win,
+,11-04-17,SC2CL S2: Master,Unknown,Osho,Loss,
+,11-04-17,SC2CL S2: Master,Unknown,Osho,Win,
+,11-04-10,SC2CL S2: Master,Shakuras Plateau..,Nerchio,Win,
+,11-04-10,SC2CL S2: Master,The Shattered Te..,Nerchio,Win,
+,11-03-23,EU Champions Troph..,Unknown,SaSe,Loss,
+,11-03-23,EU Champions Troph..,Unknown,SaSe,Loss,
+,11-03-19,Sennheiser Cup #6,Unknown,LucifroN,Loss,
+,11-03-19,Sennheiser Cup #6,Unknown,LucifroN,Win,
+,11-03-19,Sennheiser Cup #6,Unknown,LucifroN,Loss,
+,11-03-03,4pl.de CC #2011-21,Xel&#039;Naga Ca..,DieStar,Loss,
+,11-03-03,4pl.de CC #2011-21,Scrap Station,DieStar,Loss,
+,11-03-03,4pl.de CC #2011-21,Unknown,Nerchio,Win,
+,11-03-03,4pl.de CC #2011-21,Unknown,Nerchio,Win,
+,11-03-03,4pl.de CC #2011-21,Unknown,Nerchio,Loss,
+,11-02-27,EU ZOTAC Cup #45,Blistering Sands,LaLuSh,Loss,
+,11-02-27,EU ZOTAC Cup #45,Xel&#039;Naga Ca..,LaLuSh,Win,
+,11-02-27,EU ZOTAC Cup #45,Shakuras Plateau,LaLuSh,Loss,
+,11-02-12,ASSEMBLY Winter 2011,Blistering Sands,Ret,Loss,
+,11-02-12,ASSEMBLY Winter 2011,Shakuras Plateau,Ret,Loss,
+,11-02-12,ASSEMBLY Winter 2011,Xel&#039;Naga Ca..,Ret,Win,
+,11-02-12,ASSEMBLY Winter 2011,Metalopolis,SarenS,Win,
+,11-02-12,ASSEMBLY Winter 2011,Xel&#039;Naga Ca..,SarenS,Win,
