,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-23,4pl.de CC #2011-53,Tal&#039;Darim A..,Kas,Loss,
+,11-06-23,4pl.de CC #2011-53,Shakuras Plateau..,Kas,Loss,
+,11-06-23,4pl.de CC #2011-53,Crevasse,BlinG,Win,
+,11-06-23,4pl.de CC #2011-53,The Shattered Te..,BlinG,Win,
+,11-06-21,EU CraftCup Lite #70,Xel&#039;Naga Ca..,TroY,Win,
+,11-06-21,EU CraftCup Lite #70,Shakuras Plateau..,TroY,Loss,
+,11-06-21,EU CraftCup Lite #70,Crevasse,TroY,Win,
+,11-06-21,EU CraftCup Lite #70,Xel&#039;Naga Ca..,InHeartBeat,Win,
+,11-06-21,EU CraftCup Lite #70,Metalopolis,InHeartBeat,Win,
+,11-06-21,EU CraftCup Lite #70,The Shattered Te..,InHeartBeat,Loss,
+,11-05-05,2011 Dailymotion C..,Terminus SE,DarKFoRcE,Loss,
+,11-05-05,2011 Dailymotion C..,Metalopolis 1.1,DarKFoRcE,Loss,
+,11-05-05,2011 Dailymotion C..,Shakuras Plateau..,DarKFoRcE,Win,
+,11-05-05,2011 Dailymotion C..,Shakuras Plateau..,White-Ra,Loss,
+,11-05-05,2011 Dailymotion C..,Terminus SE,White-Ra,Win,
+,11-05-05,2011 Dailymotion C..,Xel&#039;Naga Ca..,White-Ra,Loss,
+,11-05-05,2011 Dailymotion C..,Metalopolis 1.1,Happy,Win,
+,11-05-05,2011 Dailymotion C..,Xel&#039;Naga Ca..,Happy,Loss,
+,11-05-05,2011 Dailymotion C..,Tal&#039;Darim A..,Happy,Win,
+,11-05-02,Competo Cup #38,Dual Sight,Beastyqt,Loss,
+,11-05-02,Competo Cup #38,Xel&#039;Naga Ca..,Beastyqt,Loss,
+,11-05-02,Competo Cup #38,Tal&#039;Darim A..,Beastyqt,Win,
+,11-04-07,EU Go4SC2 Final #11,Unknown,Kas,Loss,
+,11-04-07,EU Go4SC2 Final #11,Unknown,Kas,Loss,
+,11-04-07,EU Go4SC2 Final #11,Unknown,Laukyo,Win,
+,11-04-07,EU Go4SC2 Final #11,Unknown,Laukyo,Win,
+,11-03-27,Heat Invitational,Shakuras Plateau..,iNSoLeNCE,Win,
+,11-03-27,Heat Invitational,Xel&#039;Naga Ca..,iNSoLeNCE,Loss,
+,11-03-27,Heat Invitational,Terminus RE,iNSoLeNCE,Win,
+,11-03-27,Heat Invitational,Crevasse,TLO,Loss,
+,11-03-27,Heat Invitational,Metalopolis,TLO,Loss,
+,11-03-27,Heat Invitational,Xel&#039;Naga Ca..,TLO,Win,
+,11-03-27,Heat Invitational,The Shattered Te..,TLO,Loss,
+,11-03-20,Heat Showmatch #1,Crevasse,ClouD,Loss,
+,11-03-20,Heat Showmatch #1,Tal&#039;Darim A..,ClouD,Win,
+,11-03-20,Heat Showmatch #1,Metalopolis,ClouD,Win,
+,11-03-20,Heat Showmatch #1,Xel&#039;Naga Ca..,ClouD,Win,
+,11-03-20,Heat Showmatch #1,The Shattered Te..,ClouD,Loss,
+,11-02-05,StarCraft2.net.pl ..,Steppes of War,Kas,Loss,
+,11-02-05,StarCraft2.net.pl ..,Shakuras Plateau,Kas,Win,
