,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,ViBE,Loss,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,ViBE,Loss,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,HayprO,Loss,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,HayprO,Win,
+,11-06-04,MLG Columbus 2011,iCCup Testbug,HayprO,Loss,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,sixjaxMajOr,Loss,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,sixjaxMajOr,Loss,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,iNcontroL,Loss,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,iNcontroL,Loss,
+,11-06-03,MLG Columbus 2011,The Shattered Te..,Machine,Win,
+,11-06-03,MLG Columbus 2011,Shakuras Plateau..,Machine,Loss,
+,11-06-03,MLG Columbus 2011,Xel&#039;Naga Ca..,Machine,Win,
+,11-06-03,MLG Columbus 2011,Shakuras Plateau..,LosirA,Loss,
+,11-06-03,MLG Columbus 2011,Metalopolis 1.1,LosirA,Loss,
+,11-06-01,NASL S1,Metalopolis 1.1,Fenix,Loss,
+,11-06-01,NASL S1,Tal&#039;Darim A..,Fenix,Loss,
+,11-06-01,NASL S1,Backwater Gulch,Fenix,Win,
+,11-05-26,2011 Dailymotion C..,iCCup Neo Enigma,Nerchio,Loss,
+,11-05-26,2011 Dailymotion C..,Metalopolis 1.1,Nerchio,Loss,
+,11-05-26,2011 Dailymotion C..,Shakuras Plateau..,Nerchio,Loss,
+,11-05-25,NASL S1,Metalopolis 1.1,Moon,Loss,
+,11-05-25,NASL S1,Tal&#039;Darim A..,Moon,Loss,
+,11-05-24,2011 Dailymotion C..,iCCup Neo Enigma,Happy,Win,
+,11-05-24,2011 Dailymotion C..,Shakuras Plateau..,Happy,Loss,
+,11-05-24,2011 Dailymotion C..,Tal&#039;Darim A..,Happy,Win,
+,11-05-24,2011 Dailymotion C..,The Shattered Te..,Happy,Loss,
+,11-05-24,2011 Dailymotion C..,Xel&#039;Naga Ca..,Happy,Win,
+,11-05-18,NASL S1,Crevasse,KiWiKaKi,Loss,
+,11-05-18,NASL S1,Metalopolis 1.1,KiWiKaKi,Loss,
+,11-05-17,2011 Dailymotion C..,Shakuras Plateau..,Socke,Win,
+,11-05-17,2011 Dailymotion C..,Xel&#039;Naga Ca..,Socke,Win,
+,11-05-17,2011 Dailymotion C..,Tal&#039;Darim A..,Socke,Win,
