,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-26,Homestory Cup #3,Tal&#039;Darim A..,MC,Loss,
+,11-06-26,Homestory Cup #3,Crevasse,MC,Loss,
+,11-06-26,Homestory Cup #3,Dual Sight,MC,Loss,
+,11-06-26,Homestory Cup #3,Crossfire SE,MC,Win,
+,11-06-25,Homestory Cup #3,The Shattered Te..,IdrA,Win,
+,11-06-25,Homestory Cup #3,Dual Sight,IdrA,Win,
+,11-06-25,Homestory Cup #3,Shakuras Plateau..,IdrA,Loss,
+,11-06-25,Homestory Cup #3,Tal&#039;Darim A..,ThorZaIN,Win,
+,11-06-25,Homestory Cup #3,Metalopolis 1.1,ThorZaIN,Win,
+,11-06-25,Homestory Cup #3,Terminus SE,Adelscott,Win,
+,11-06-25,Homestory Cup #3,Tal&#039;Darim A..,Adelscott,Win,
+,11-06-25,Homestory Cup #3,Xel&#039;Naga Ca..,GoOdy,Win,
+,11-06-25,Homestory Cup #3,The Shattered Te..,GoOdy,Win,
+,11-06-25,Homestory Cup #3,The Shattered Te..,IdrA,Loss,
+,11-06-25,Homestory Cup #3,Shakuras Plateau..,IdrA,Loss,
+,11-06-24,Homestory Cup #3,Terminus SE,DIMAGA,Win,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,DIMAGA,Win,
+,11-06-24,Homestory Cup #3,Tal&#039;Darim A..,DIMAGA,Loss,
+,11-06-24,Homestory Cup #3,Tal&#039;Darim A..,Bischu,Win,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,Bischu,Win,
+,11-06-24,Homestory Cup #3,The Shattered Te..,Bischu,Loss,
+,11-06-24,Homestory Cup #3,Tal&#039;Darim A..,NaNiwa,Loss,
+,11-06-24,Homestory Cup #3,Terminus SE,NaNiwa,Win,
+,11-06-24,Homestory Cup #3,The Shattered Te..,NaNiwa,Loss,
+,11-06-22,EU Go4SC2 Cup #115,(?),Slider,Loss,
+,11-06-22,EU Go4SC2 Cup #115,(?),Slider,Loss,
+,11-06-22,EU Go4SC2 Cup #115,(?),Slider,Loss,
+,11-06-22,EU Go4SC2 Cup #115,The Shattered Te..,Kalin,Win,
+,11-06-22,EU Go4SC2 Cup #115,Terminus SE,Kalin,Win,
+,11-06-22,EU Go4SC2 Cup #115,Shakuras Plateau..,Vengeful,Win,
+,11-06-22,EU Go4SC2 Cup #115,Tal&#039;Darim A..,Vengeful,Win,
+,11-06-21,EG Masters Cup #5,The Shattered Te..,HasuObs,Loss,
+,11-06-21,EG Masters Cup #5,Metalopolis 1.1,HasuObs,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,LaLuSh,Loss,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,LaLuSh,Loss,
+,11-06-19,2011 Dreamhack Sum..,Tal&#039;Darim A..,Bischu,Win,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,Bischu,Win,
+,11-06-19,2011 Dreamhack Sum..,Crevasse,Bischu,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,FuRy,Win,
+,11-06-19,2011 Dreamhack Sum..,Tal&#039;Darim A..,FuRy,Win,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Moon,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Moon,Loss,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,Moon,Win,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,HuK,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,HuK,Loss,
+,11-06-15,EG Masters Cup #5,Xel&#039;Naga Ca..,CatZ,Loss,
+,11-06-15,EG Masters Cup #5,Metalopolis 1.1,CatZ,Loss,
+,11-06-15,EG Masters Cup #5,Crossfire SE,CatZ,Win,
+,11-06-15,EU Go4SC2 Cup #113,Shakuras Plateau..,BeNSeN,Win,
+,11-06-15,EU Go4SC2 Cup #113,Tal&#039;Darim A..,BeNSeN,Win,
+,11-06-15,EU Go4SC2 Cup #113,The Shattered Te..,BeNSeN,Win,
+,11-06-15,EU Go4SC2 Cup #113,Metalopolis 1.1,biGs,Win,
+,11-06-15,EU Go4SC2 Cup #113,The Shattered Te..,biGs,Loss,
+,11-06-15,EU Go4SC2 Cup #113,Tal&#039;Darim A..,biGs,Win,
+,11-06-15,EU Go4SC2 Cup #113,The Shattered Te..,Hayku,Win,
+,11-06-15,EU Go4SC2 Cup #113,Tal&#039;Darim A..,Hayku,Win,
+,11-06-12,EU ZOTAC Cup #60,iCCup Testbug,GoOdy,Loss,
