,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-25,TeamSpeak TL Open ..,Metalopolis 1.1,Hack,Loss,
+,11-06-25,TeamSpeak TL Open ..,The Shattered Te..,Hack,Loss,
+,11-06-11,TeamSpeak TL Open ..,Xel&#039;Naga Ca..,HwangSin,Loss,
+,11-06-11,TeamSpeak TL Open ..,Tal&#039;Darim A..,HwangSin,Win,
+,11-06-11,TeamSpeak TL Open ..,Metalopolis 1.1,HwangSin,Loss,
+,11-06-11,TeamSpeak TL Open ..,Xel&#039;Naga Ca..,Agh,Win,
+,11-06-11,TeamSpeak TL Open ..,Shakuras Plateau..,Agh,Win,
+,11-06-11,TeamSpeak TL Open ..,Metalopolis 1.1,ChAnCe,Win,
+,11-06-11,TeamSpeak TL Open ..,The Shattered Te..,ChAnCe,Win,
+,11-06-04,MLG Columbus 2011,Xel&#039;Naga Ca..,KawaiiRice,Loss,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,KawaiiRice,Loss,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,KawaiiRice,Win,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,KiWiKaKi,Loss,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,KiWiKaKi,Loss,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,July,Loss,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,July,Loss,
+,11-06-03,MLG Columbus 2011,Metalopolis 1.1,Sheth,Loss,
+,11-06-03,MLG Columbus 2011,The Shattered Te..,Sheth,Loss,
+,11-06-03,MLG Columbus 2011,Xel&#039;Naga Ca..,Sheth,Win,
+,11-06-03,MLG Columbus 2011,The Shattered Te..,MMA,Loss,
+,11-06-03,MLG Columbus 2011,Metalopolis 1.1,MMA,Loss,
+,11-06-03,MLG Columbus 2011,Tal&#039;Darim A..,SjoW,Loss,
+,11-06-03,MLG Columbus 2011,Shakuras Plateau..,SjoW,Loss,
+,11-06-03,MLG Columbus 2011,Xel&#039;Naga Ca..,SjoW,Win,
+,11-04-23,FXO Invitational #3,Metalopolis 1.1,Sirius,Loss,
+,11-04-23,FXO Invitational #3,Xel&#039;Naga Ca..,Sirius,Loss,
+,11-04-23,FXO Invitational #3,Unknown,dignitas.KiLLeR,Loss,
+,11-04-23,FXO Invitational #3,Unknown,dignitas.KiLLeR,Win,
+,11-04-23,FXO Invitational #3,Unknown,dignitas.KiLLeR,Loss,
+,11-04-23,FXO Invitational #3,Unknown,ParanOid,Win,
+,11-04-23,FXO Invitational #3,Unknown,ParanOid,Win,
+,11-04-18,GameCreds Cup #10,Unknown,Nerchio,Loss,
+,11-04-18,GameCreds Cup #10,iCCup Pawn Re,Nerchio,Loss,
+,11-04-18,GameCreds Cup #10,Unknown,Breach,Win,
+,11-04-18,GameCreds Cup #10,Xel&#039;Naga Ca..,Breach,Win,
+,11-04-13,SpazCraft Invite #2,Shakuras Plateau,Axslav,Loss,
+,11-04-13,SpazCraft Invite #2,The Shattered Te..,Axslav,Loss,
+,11-04-13,SpazCraft Invite #2,Xel&#039;Naga Ca..,Axslav,Loss,
+,11-04-13,SpazCraft Invite #2,Metalopolis 1.1,Axslav,Win,
+,11-04-13,SpazCraft Invite #2,Crevasse,Axslav,Win,
+,11-04-13,SpazCraft Invite #2,Metalopolis,Destiny,Win,
+,11-04-13,SpazCraft Invite #2,Metalopolis,CatZ,Win,
+,11-04-13,SpazCraft Invite #2,Metalopolis,Axslav,Loss,
+,11-04-13,SpazCraft Invite #2,The Shattered Te..,Axslav,Loss,
+,11-04-03,MLG Dallas 2011,Crossfire SE,Socke,Loss,
+,11-04-03,MLG Dallas 2011,The Shattered Te..,Socke,Loss,
+,11-04-03,MLG Dallas 2011,Shakuras Plateau..,SLush,Win,
+,11-04-03,MLG Dallas 2011,Xel&#039;Naga Ca..,SLush,Win,
+,11-04-03,MLG Dallas 2011,Metalopolis 1.1,SLush,Loss,
+,11-04-03,MLG Dallas 2011,iCCup Testbug,Machine,Win,
+,11-04-03,MLG Dallas 2011,Scrap Station,Machine,Win,
+,11-04-03,MLG Dallas 2011,The Shattered Te..,Mihai,Win,
+,11-04-03,MLG Dallas 2011,iCCup Testbug,Mihai,Win,
+,11-04-03,MLG Dallas 2011,Metalopolis 1.1,Agh,Win,
+,11-04-03,MLG Dallas 2011,The Shattered Te..,Agh,Win,
+,11-04-03,MLG Dallas 2011,Xel&#039;Naga Ca..,Spades,Win,
+,11-04-03,MLG Dallas 2011,Shakuras Plateau..,Spades,Win,
+,11-04-03,MLG Dallas 2011,Metalopolis 1.1,Hawk,Win,
+,11-04-03,MLG Dallas 2011,Xel&#039;Naga Ca..,Hawk,Win,
+,11-04-02,MLG Dallas 2011,Crossfire SE,Naama,Win,
