,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-22,EG Masters Cup #5,Crevasse,ClouD,Win,
+,11-06-22,EG Masters Cup #5,The Shattered Te..,ClouD,Win,
+,11-06-22,EG Masters Cup #5,Xel&#039;Naga Ca..,ClouD,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,SaSe,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,SaSe,Loss,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,Naama,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Naama,Win,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Kas,Win,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,Kas,Win,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,Grubby,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Grubby,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,IdrA,Win,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,IdrA,Win,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,IdrA,Loss,
+,11-05-21,2011 WCG Sweden Qu..,Metalopolis 1.1,MoSiE,Win,
+,11-05-21,2011 WCG Sweden Qu..,Crevasse,MoSiE,Win,
+,11-05-21,2011 WCG Sweden Qu..,Tal&#039;Darim A..,NaNiwa,Loss,
+,11-05-21,2011 WCG Sweden Qu..,Terminus RE,NaNiwa,Loss,
+,11-05-21,2011 WCG Sweden Qu..,Tal&#039;Darim A..,SaSe,Loss,
+,11-05-21,2011 WCG Sweden Qu..,Crevasse,SaSe,Loss,
+,11-05-17,IPL S2 Qualifiers,Tal&#039;Darim A..,GoOdy,Win,
+,11-05-17,IPL S2 Qualifiers,Terminus RE,GoOdy,Win,
+,11-05-17,IPL S2 Qualifiers,Xel&#039;Naga Ca..,GoOdy,Win,
+,11-05-12,EG Masters Cup #5,Xel&#039;Naga Ca..,DeMusliM,Loss,
+,11-05-12,EG Masters Cup #5,The Shattered Te..,DeMusliM,Loss,
+,11-05-01,SC2CL S2: Master,Unknown,Lopata,Win,
+,11-05-01,SC2CL S2: Master,iCCup Testbug,Lopata,Win,
+,11-04-25,EU Champions Troph..,Terminus RE,Nerchio,Loss,
+,11-04-25,EU Champions Troph..,Tal&#039;Darim A..,Nerchio,Win,
+,11-04-25,EU Champions Troph..,Shakuras Plateau..,Nerchio,Loss,
+,11-04-24,SC2CL S2: Master,Unknown,InHeartBeat,Win,
+,11-04-24,SC2CL S2: Master,Xel&#039;Naga Ca..,InHeartBeat,Win,
+,11-04-24,Copenhagen Games 2..,Xel&#039;Naga Ca..,Joe,Loss,
+,11-04-24,Copenhagen Games 2..,Tal&#039;Darim A..,Joe,Win,
+,11-04-24,Copenhagen Games 2..,Shakuras Plateau..,Joe,Loss,
+,11-04-24,Copenhagen Games 2..,Tal&#039;Darim A..,Sleepytime,Win,
+,11-04-24,Copenhagen Games 2..,Xel&#039;Naga Ca..,Sleepytime,Win,
+,11-04-10,SC2CL S2: Master,Tal&#039;Darim A..,Mondragon,Win,
+,11-04-10,SC2CL S2: Master,The Shattered Te..,Mondragon,Win,
+,11-03-23,EU Champions Troph..,Unknown,Joe,Loss,
+,11-03-23,EU Champions Troph..,Unknown,Joe,Loss,
+,11-03-13,EU Go4SC2 Cup #88,Terminus RE,SaSe,Loss,
+,11-03-13,EU Go4SC2 Cup #88,Xel&#039;Naga Ca..,SaSe,Loss,
+,11-03-11,EU CraftCup #34,Shakuras Plateau,Kas,Loss,
+,11-03-11,EU CraftCup #34,The Shattered Te..,Kas,Win,
+,11-03-11,EU CraftCup #34,Xel&#039;Naga Ca..,Kas,Loss,
+,11-02-19,TeamSpeak TL Open ..,Lost Temple SC2,KiWiKaKi,Loss,
+,11-02-19,TeamSpeak TL Open ..,Scrap Station,KiWiKaKi,Loss,
+,11-02-18,4pl.de CC #2011-15,Shakuras Plateau,SeleCT,Loss,
+,11-02-18,4pl.de CC #2011-15,Unknown,SeleCT,Loss,
+,11-02-18,4pl.de CC #2011-15,Unknown,SeleCT,Win,
+,11-02-18,4pl.de CC #2011-15,Metalopolis,Nerchio,Loss,
+,11-02-18,4pl.de CC #2011-15,Unknown,Nerchio,Loss,
+,11-02-18,4pl.de CC #2011-15,Unknown,Nerchio,Win,
+,11-02-12,ASSEMBLY Winter 2011,Lost Temple SC2,NaNiwa,Loss,
+,11-02-12,ASSEMBLY Winter 2011,Xel&#039;Naga Ca..,NaNiwa,Loss,
+,11-02-11,ASSEMBLY Winter 2011,Xel&#039;Naga Ca..,torecito,Win,
+,11-02-11,ASSEMBLY Winter 2011,Metalopolis,torecito,Win,
+,11-02-11,ASSEMBLY Winter 2011,Lost Temple SC2,Ouga,Win,
+,11-02-11,ASSEMBLY Winter 2011,Xel&#039;Naga Ca..,Ouga,Win,
+,11-02-11,ASSEMBLY Winter 2011,Metalopolis,qxc,Loss,
+,11-02-11,ASSEMBLY Winter 2011,Xel&#039;Naga Ca..,qxc,Loss,
+,11-02-03,Viking Cup #28,Lost Temple SC2,Satiini,Loss,
+,11-02-03,Viking Cup #28,Delta Quadrant,Satiini,Loss,
+,11-02-03,Viking Cup #28,Metalopolis,Satiini,Loss,
+,11-02-03,Viking Cup #28,Xel&#039;Naga Ca..,Satiini,Loss,
+,11-02-03,Viking Cup #28,Unknown,elfi,Win,
+,11-02-03,Viking Cup #28,Unknown,elfi,Loss,
+,11-02-03,Viking Cup #28,Unknown,elfi,Win,
+,11-02-03,Viking Cup #28,Metalopolis,BiOhAzArD,Win,
+,11-01-21,IEM EU Championshi..,Lost Temple SC2,White-Ra,Loss,
+,11-01-21,IEM EU Championshi..,Xel&#039;Naga Ca..,White-Ra,Loss,
